Date,Net Money Flow,5-day SMA,Net Money Flow,5-day SMA,Net Money Flow,5-day SMA
26/10/2021,267.79K,-3.40M,459.97M,837.76M,634.83M,1.03B
27/10/2021,7.40M,563.46K,-65.77M,613.55M,84.26M,797.33M
28/10/2021,2.58M,1.40M,41.15M,264.15M,135.00M,410.52M
29/10/2021,14.91M,4.52M,621.47M,278.41M,849.02M,429.10M
1/11/2021,16.02M,8.24M,474.48M,306.26M,702.30M,481.08M
2/11/2021,3.28M,8.84M,519.94M,318.25M,687.65M,491.65M
3/11/2021,15.43M,10.44M,72.58M,345.92M,248.17M,524.43M
4/11/2021,3.51M,10.63M,158.75M,369.44M,325.13M,562.45M
5/11/2021,16.91M,11.03M,457.51M,336.65M,709.20M,534.49M
8/11/2021,14.75M,10.77M,319.58M,305.67M,564.69M,506.97M
19/11/2021,15.75M,3.06M,235.81M,358.08M,521.71M,535.97M
18/11/2021,1.68M,-447.29K,395.49M,375.41M,593.09M,524.39M
17/11/2021,-2.32M,-893.91K,277.92M,334.76M,449.66M,468.53M
16/11/2021,-1.65M,3.16M,473.27M,434.34M,578.97M,595.31M
15/11/2021,1.84M,4.51M,407.93M,289.56M,536.42M,443.62M
10/12/2021,-82.68K,628.93K,-242.94M,-25.42M,-164.96M,67.16M
9/12/2021,-71.58K,2.06M,279.29M,105.95M,366.67M,219.58M
8/12/2021,1.22M,1.98M,119.13M,130.74M,190.19M,261.59M
7/12/2021,-10.77K,2.77M,-374.38M,171.66M,-284.14M,304.86M
6/12/2021,2.09M,16.25M,91.79M,290.85M,228.06M,505.80M
